hf_id,hf_name,indicator,iqr,sd,ttt
RaW2Jr9a4Ui,Anbeshen Health Post,ipv,0.0,0.0,1.0
RaW2Jr9a4Ui,Anbeshen Health Post,penta1,1.0,1.0,1.0
VBVFmMYIBJ6,Anjim Health Post,mcv1,0.0,1.0,1.0
dstybjzMlSa,Arefa Healt post,ipv,0.0,0.0,1.0
dstybjzMlSa,Arefa Healt post,penta1,0.0,0.0,0.0
KPipliwxTxq,Shohet Health Post,ipv,0.0,0.0,1.0
KPipliwxTxq,Shohet Health Post,penta1,1.0,1.0,1.0
MQi7pyqCAKp,Zegie Health Center,ipv,0.0,0.0,1.0
MQi7pyqCAKp,Zegie Health Center,penta1,0.0,0.0,0.0
KxxIXgGh0hp,Zachena Health Post,penta3,2.0,0.0,2.0
KxxIXgGh0hp,Zachena Health Post,full_vacc,0.0,0.0,2.0
Zmw63zKjLmK,Bermil Health Center,penta3,0.0,0.0,0.0
VgVZ96ATnfh,Sholla Health Post,mcv1,2.0,0.0,1.0
yHROmcwNGTW,Buhona Health  post,rota2,0.0,0.0,0.0
m6VPJjic28W,Feres Bet Health Post,penta3,0.0,0.0,0.0
m6VPJjic28W,Feres Bet Health Post,rota2,1.0,1.0,1.0
x4FET6PzlaN,Shedo Health Post,mcv1,3.0,2.0,2.0
oOVToDnT65d,Checheho Health Center,full_vacc,0.0,0.0,0.0
jwIqHZk4yAl,Finote Selam General Hospital,ipv,0.0,0.0,1.0
jwIqHZk4yAl,Finote Selam General Hospital,penta1,0.0,0.0,0.0
s2Ux0Z9ciPD,Kabcheba Health Post,full_vacc,0.0,0.0,0.0
RB6ImS1IiHI,Adisgie Health Post,penta3,2.0,1.0,1.0
RB6ImS1IiHI,Adisgie Health Post,full_vacc,1.0,0.0,1.0
pLJAquDP5zf,Melat Health Post,penta3,0.0,0.0,0.0
qbtXkIx3qs3,Hibre Selam Health Post,penta3,0.0,0.0,0.0
hC9TiWdVVte,Wondata Health Post,mcv1,0.0,0.0,1.0
vzyDYQHHkcP,Bologiorigise Health Center,penta1,0.0,0.0,0.0
cNXgVm69JGh,Embayiko Health Post,mcv1,0.0,0.0,0.0
YxgNLfaKfjM,Yetnora Health Post,ipv,0.0,0.0,0.0
YxgNLfaKfjM,Yetnora Health Post,penta1,0.0,0.0,0.0
JeKEAnPJdoE,Kinti Health Post,mcv1,0.0,0.0,0.0
VLOrXRobBep,Wefichame Health Post,bcg,0.0,0.0,0.0
qS7NgMcFFdg,Deneba Health Center,mcv1,0.0,0.0,0.0
DI5KnRIpJQC,Dibibiso Health Post,ipv,0.0,0.0,0.0
DI5KnRIpJQC,Dibibiso Health Post,penta1,0.0,0.0,2.0
