level,period,year,month,month_code,indicator,iqr,zscore,ttt
5,2015-08,2015.0,August,08,bcg,0.0,0.0,0.0
5,2014-04,2014.0,April,04,ipv,0.0,0.0,1.0
5,2014-09,2014.0,September,09,ipv,0.0,0.0,1.0
5,2014-06,2014.0,June,06,penta1,4.0,4.0,7.0
5,2015-01,2015.0,January,01,penta1,1.0,1.0,2.0
5,2015-03,2015.0,March,03,penta1,0.0,0.0,1.0
5,2014-02,2014.0,February,02,penta3,0.0,0.0,2.0
5,2014-03,2014.0,March,03,penta3,1.0,1.0,1.0
5,2014-09,2014.0,September,09,penta3,0.0,0.0,1.0
5,2014-11,2014.0,November,11,penta3,0.0,0.0,1.0
5,2015-07,2015.0,July,07,penta3,0.0,0.0,0.0
5,2014-02,2014.0,February,02,mcv1,1.0,1.0,1.0
5,2014-03,2014.0,March,03,mcv1,0.0,0.0,1.0
5,2014-04,2014.0,April,04,mcv1,0.0,0.0,1.0
5,2014-09,2014.0,September,09,mcv1,8.0,6.0,9.0
5,2014-02,2014.0,February,02,rota2,0.0,0.0,0.0
5,2015-06,2015.0,June,06,rota2,0.0,0.0,1.0
5,2015-07,2015.0,July,07,rota2,0.0,0.0,3.0
4,2014-05,2014.0,May,05,bcg,0.0,0.0,0.0
4,2014-07,2014.0,July,07,bcg,0.0,0.0,1.0
4,2015-01,2015.0,January,01,bcg,0.0,0.0,2.0
4,2015-08,2015.0,August,08,bcg,0.0,0.0,2.0
4,2014-02,2014.0,February,02,ipv,0.0,0.0,1.0
4,2014-10,2014.0,October,10,ipv,0.0,1.0,2.0
4,2014-06,2014.0,June,06,penta1,3.0,3.0,3.0
4,2015-10,2015.0,October,10,penta1,0.0,0.0,0.0
4,2014-01,2014.0,January,01,penta3,0.0,0.0,0.0
4,2014-12,2014.0,December,12,penta3,0.0,0.0,0.0
4,2014-02,2014.0,February,02,mcv1,0.0,0.0,1.0
4,2014-12,2014.0,December,12,mcv1,1.0,1.0,3.0
4,2014-01,2014.0,January,01,rota2,0.0,0.0,0.0
4,2014-09,2014.0,September,09,rota2,0.0,0.0,1.0
4,2014-12,2014.0,December,12,rota2,0.0,0.0,1.0
4,2015-05,2015.0,May,05,rota2,0.0,0.0,0.0
4,2014-06,2014.0,June,06,full_vacc,0.0,1.0,2.0
4,2015-10,2015.0,October,10,full_vacc,1.0,2.0,3.0
6,2014-03,2014.0,March,03,bcg,22.0,9.0,27.0
6,2014-05,2014.0,May,05,bcg,24.0,25.0,53.0
6,2014-01,2014.0,January,01,ipv,33.0,17.0,60.0
6,2015-03,2015.0,March,03,ipv,31.0,22.0,65.0
6,2015-06,2015.0,June,06,ipv,37.0,29.0,69.0
6,2015-09,2015.0,September,09,ipv,84.0,61.0,135.0
6,2013-12,2013.0,December,12,penta1,32.0,25.0,82.0
6,2014-06,2014.0,June,06,penta1,203.0,178.0,269.0
6,2014-04,2014.0,April,04,penta3,42.0,27.0,82.0
6,2014-10,2014.0,October,10,penta3,246.0,182.0,340.0
6,2014-11,2014.0,November,11,penta3,40.0,22.0,61.0
6,2015-03,2015.0,March,03,penta3,31.0,24.0,70.0
6,2015-06,2015.0,June,06,penta3,39.0,30.0,73.0
6,2014-04,2014.0,April,04,mcv1,40.0,24.0,70.0
6,2015-01,2015.0,January,01,mcv1,28.0,15.0,52.0
6,2015-09,2015.0,September,09,mcv1,108.0,78.0,151.0
6,2014-08,2014.0,August,08,rota2,187.0,111.0,208.0
6,2014-04,2014.0,April,04,full_vacc,42.0,25.0,71.0
6,2014-11,2014.0,November,11,full_vacc,35.0,17.0,44.0
6,2015-01,2015.0,January,01,full_vacc,29.0,14.0,49.0
6,2015-03,2015.0,March,03,full_vacc,35.0,20.0,59.0
5,2013-11,2013.0,November,11,ipv,0.0,0.0,1.0
5,2013-12,2013.0,December,12,ipv,0.0,0.0,2.0
5,2014-03,2014.0,March,03,ipv,1.0,1.0,1.0
5,2014-07,2014.0,July,07,ipv,4.0,5.0,6.0
5,2014-11,2014.0,November,11,ipv,0.0,1.0,2.0
5,2015-06,2015.0,June,06,ipv,0.0,1.0,2.0
5,2014-10,2014.0,October,10,penta1,0.0,1.0,2.0
5,2014-12,2014.0,December,12,penta1,1.0,0.0,1.0
5,2015-02,2015.0,February,02,penta1,0.0,0.0,0.0
5,2013-11,2013.0,November,11,penta3,0.0,0.0,1.0
5,2013-12,2013.0,December,12,penta3,0.0,0.0,2.0
5,2014-04,2014.0,April,04,penta3,0.0,0.0,1.0
5,2014-11,2014.0,November,11,mcv1,0.0,0.0,1.0
5,2015-03,2015.0,March,03,mcv1,1.0,1.0,2.0
