region,hf_id,hf_name,indicator,iqr,zscore,ttt
Amhara Regional Health Bureau,Yu0sNxlnpAm,Bete hor Health Post,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,g0rbtLnyzcX,Atugafered Health Post,mcv1,0.0,0.0,1.0
Amhara Regional Health Bureau,qnArMQbUHxb,Lastie Gerado Health Post,rota2,NaN,NaN,NaN
Amhara Regional Health Bureau,Jaj98sOQnH1,Daza Health Post,mcv1,1.0,0.0,1.0
Amhara Regional Health Bureau,vEJdGLChiib,Tikurena Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,EfUyf9joJ0O,Selamgie Health Post,ipv,NaN,NaN,NaN
Amhara Regional Health Bureau,WlaIDsi2V3s,Konta Health Post,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,ag92XAxVRcB,Webel Health Post,full_vacc,0.0,0.0,1.0
Amhara Regional Health Bureau,ITAXORaABtx,Dibko Health Post,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,OOBfg5pwK6b,Wegeda Health Center,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,zI4MYH5TOyx,Meteh Bila Health Center,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,RR7ri1fyCNM,Dubeta Health Post,rota2,1.0,1.0,1.0
Amhara Regional Health Bureau,wpjCEAN4mm5,Wogeltena Health Center,ipv,1.0,1.0,1.0
Amhara Regional Health Bureau,UqiNPPCGuVX,Bida Health Post,ipv,0.0,0.0,0.0
Amhara Regional Health Bureau,V8xpYUMTkLK,Chiri Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,P1ioZHh3T4f,Eyela Health Center,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,csIfH1ptu2v,Chendefo Health Post,mcv1,0.0,0.0,1.0
Amhara Regional Health Bureau,iN6gsh4p9nu,Sawna Health Post,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,U5HsuPY8EV0,Mahadid Health Post,mcv1,0.0,0.0,1.0
Amhara Regional Health Bureau,cx9L3iDRRYK,Adama Dirma Health Post,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,nRrUkurOrOC,Debre Kelmo Health Center,ipv,0.0,0.0,0.0
Amhara Regional Health Bureau,nRrUkurOrOC,Debre Kelmo Health Center,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,Iz6lh1X6mYL,Gult Abishikan Health Post,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,DWMZYSwDxAl,Ariga Health Post,ipv,2.0,1.0,2.0
Amhara Regional Health Bureau,DWMZYSwDxAl,Ariga Health Post,penta1,2.0,1.0,1.0
Amhara Regional Health Bureau,tA6wzO8PIGV,Bistima Health Center,penta1,2.0,1.0,1.0
Amhara Regional Health Bureau,c0efi17rNAM,Enamora Health Post,mcv1,0.0,0.0,1.0
Amhara Regional Health Bureau,vfH1IumSyAg,Gelebe Health Post,bcg,1.0,1.0,1.0
Amhara Regional Health Bureau,vfH1IumSyAg,Gelebe Health Post,full_vacc,2.0,1.0,1.0
Amhara Regional Health Bureau,YSbnAOvmgQ8,Gedamawit Health Post,rota2,0.0,1.0,1.0
Amhara Regional Health Bureau,tO1lEtvDH0j,Shafo Galat Health Post,penta1,0.0,1.0,1.0
Amhara Regional Health Bureau,Dkt8UZ7oIA3,Merewa Health Post,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,rIwm6BmkAHD,Seinka Health Post,penta3,0.0,0.0,1.0
Amhara Regional Health Bureau,iB4m7Ht6LvA,Kurkur Solola Health Post ,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,oiB2O3sS27G,Andasa Health Post,mcv1,0.0,0.0,1.0
Amhara Regional Health Bureau,Am5HZtc5uSm,Saba Health Post,bcg,1.0,1.0,1.0
Amhara Regional Health Bureau,Am5HZtc5uSm,Saba Health Post,full_vacc,1.0,1.0,1.0
Amhara Regional Health Bureau,bvuhGLth5u2,Nabega Health Post,ipv,1.0,1.0,1.0
Amhara Regional Health Bureau,ZZaDiywQfHE,Tiver Health Center,mcv1,NaN,NaN,NaN
Amhara Regional Health Bureau,NzJXl7NySgV,Mleka Lugo Health Center,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,GVQBkO17YFJ,Kombolcha Health Post,bcg,NaN,NaN,NaN
Amhara Regional Health Bureau,GVQBkO17YFJ,Kombolcha Health Post,full_vacc,0.0,1.0,1.0
Amhara Regional Health Bureau,xUwYvO1gkHo,Simano Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,I53cacsp9nD,Kundi Health Post,ipv,2.0,0.0,2.0
Amhara Regional Health Bureau,D2MUnIi53Ar,Meriye Health Post,mcv1,0.0,0.0,1.0
Amhara Regional Health Bureau,bg0B5IuYfXa,Kentiba Health Post,penta3,0.0,1.0,1.0
Amhara Regional Health Bureau,ouA85kt4ZjN,Belen Health Center,rota2,0.0,0.0,1.0
Amhara Regional Health Bureau,tEk6HRQU7bo,Adama Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,CBqregaBl0J,Andabet Primary Hospital,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,EW6m5CpRjus,Habtegaho health Post,full_vacc,0.0,0.0,1.0
Amhara Regional Health Bureau,oKXsYduXIJS,Chara Health Center,bcg,0.0,1.0,1.0
Amhara Regional Health Bureau,oKXsYduXIJS,Chara Health Center,full_vacc,0.0,0.0,1.0
Amhara Regional Health Bureau,ylqDfZqI7JS,Meka Health Post,penta1,2.0,1.0,1.0
Amhara Regional Health Bureau,UaDWR9HAzbS,Makefta Health Post,bcg,7.0,0.0,2.0
Amhara Regional Health Bureau,UaDWR9HAzbS,Makefta Health Post,penta3,1.0,1.0,1.0
Amhara Regional Health Bureau,e2nsiYZElbw,Setila Health Center,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,pVaRzcMEiIG,Kebesa Health Center,full_vacc,0.0,1.0,1.0
Amhara Regional Health Bureau,CezSvgJxSuc,Dereba Health Center,penta3,0.0,0.0,1.0
Amhara Regional Health Bureau,cjvBLxkU6Ey,Wulika Zelihon Health Post,ipv,0.0,0.0,1.0
Amhara Regional Health Bureau,ZeLIV9peCle,Agona Health Post,full_vacc,0.0,1.0,1.0
Amhara Regional Health Bureau,ejivLqPFQXY,Woyzazrt Health Post,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,HF3vFPgWwuk,Gota Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,a7TPSSf8oxF,Kore Health Post,penta3,0.0,0.0,1.0
Amhara Regional Health Bureau,mgOGXJcIlvW,Goha Health Center,penta3,NaN,NaN,NaN
Amhara Regional Health Bureau,NZ4S0CzWkQc,Gorfo Health Post,bcg,0.0,0.0,0.0
Amhara Regional Health Bureau,NZ4S0CzWkQc,Gorfo Health Post,full_vacc,0.0,0.0,0.0
Amhara Regional Health Bureau,mRlcodsSTn6,Zengoba Health Post,bcg,0.0,0.0,0.0
